cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2618,C5,L1,MLP,99,9,completed,1789116266.0,1789116315.5,49.6,
2619,C5,L1,MLP,2026,9,completed,1789116315.6,1789116377.3,61.7,
2500,C5,L0,LightGBM,86,10,completed,1789116377.6,1789116379.0,1.4,
2501,C5,L0,LightGBM,123,10,completed,1789116379.0,1789116380.3,1.2,
2502,C5,L0,LightGBM,456,10,completed,1789116380.3,1789116381.2,0.8,
2503,C5,L0,LightGBM,789,10,completed,1789116381.2,1789116382.5,1.3,
2504,C5,L0,LightGBM,1024,10,completed,1789116382.6,1789116383.2,0.7,
2505,C5,L0,LightGBM,2024,10,completed,1789116383.3,1789116384.2,0.9,
2506,C5,L0,LightGBM,7,10,completed,1789116384.2,1789116385.3,1.1,
2507,C5,L0,LightGBM,34,10,completed,1789116385.4,1789116386.2,0.8,
2508,C5,L0,LightGBM,99,10,completed,1789116386.2,1789116387.2,0.9,
2509,C5,L0,LightGBM,2026,10,completed,1789116387.2,1789116388.0,0.8,
2620,C5,L1,MLP,86,10,completed,1789116388.1,1789116474.2,86.1,
2621,C5,L1,MLP,123,10,completed,1789116474.2,1789116540.7,66.5,
2622,C5,L1,MLP,456,10,completed,1789116540.7,1789116650.0,109.3,
2623,C5,L1,MLP,789,10,completed,1789116650.1,1789116769.2,119.1,
2624,C5,L1,MLP,1024,10,completed,1789116769.3,1789116878.4,109.2,
2625,C5,L1,MLP,2024,10,completed,1789116878.5,1789117007.7,129.3,
2626,C5,L1,MLP,7,10,completed,1789117007.8,1789117090.5,82.7,
2627,C5,L1,MLP,34,10,completed,1789117090.5,1789117242.7,152.2,
2628,C5,L1,MLP,99,10,completed,1789117242.8,1789117355.6,112.8,
2629,C5,L1,MLP,2026,10,completed,1789117355.6,1789117448.4,92.8,
2510,C5,L0,LightGBM,86,11,completed,1789117448.7,1789117449.8,1.1,
2511,C5,L0,LightGBM,123,11,completed,1789117449.9,1789117450.6,0.7,
2512,C5,L0,LightGBM,456,11,completed,1789117450.6,1789117451.3,0.7,
2513,C5,L0,LightGBM,789,11,completed,1789117451.4,1789117452.1,0.7,
2514,C5,L0,LightGBM,1024,11,completed,1789117452.1,1789117453.2,1.1,
2515,C5,L0,LightGBM,2024,11,completed,1789117453.3,1789117454.5,1.2,
2516,C5,L0,LightGBM,7,11,completed,1789117454.5,1789117455.5,1.0,
2517,C5,L0,LightGBM,34,11,completed,1789117455.5,1789117456.2,0.7,
2518,C5,L0,LightGBM,99,11,completed,1789117456.3,1789117457.0,0.7,
2519,C5,L0,LightGBM,2026,11,completed,1789117457.0,1789117457.7,0.7,
2630,C5,L1,MLP,86,11,completed,1789117457.7,1789117514.4,56.7,
2631,C5,L1,MLP,123,11,completed,1789117514.4,1789117570.9,56.5,
2632,C5,L1,MLP,456,11,completed,1789117571.0,1789117631.3,60.3,
2633,C5,L1,MLP,789,11,completed,1789117631.3,1789117695.0,63.7,
2634,C5,L1,MLP,1024,11,completed,1789117695.1,1789117755.1,60.1,
2635,C5,L1,MLP,2024,11,completed,1789117755.2,1789117818.8,63.6,
2636,C5,L1,MLP,7,11,completed,1789117818.8,1789117875.5,56.7,
2637,C5,L1,MLP,34,11,completed,1789117875.6,1789117935.7,60.1,
2638,C5,L1,MLP,99,11,completed,1789117935.7,1789117992.4,56.7,
2639,C5,L1,MLP,2026,11,completed,1789117992.5,1789118059.5,67.1,
